venue,team1,team2,stage,toss winner,toss decision,first innings score,first innings wickets,second innings score,second innings wickets,winner,won by,player of the match,top scorer,highest score,best bowler,best bowling figure
SCG,New Zealand,Australia,Super 12,Australia,Field,200,3,111,10,New Zealand,Runs,Devon Conway(NZ),Devon Conway(NZ),92,Tim Southee(NZ),6-Mar
Optus Stadium,Afghanistan,England,Super 12,England,Field,112,10,113,5,England,Wickets,Sam Curran(ENG),Ibrahim Zadran(AFZ),32,Sam Curran(ENG),10-May
Blundstone Arena,Ireland,Sri lanka,Super 12,Ireland,Bat,128,8,133,1,Sri lanka,Wickets,Kusal Mendis(SL),Kusal Mendis(SL),68,Maheesh Theekshana(SL),19-Feb
MCG,Pakistan,India,Super 12,India,Field,159,8,160,6,India,Wickets,Virat Kohli(IND)(IND),Virat Kohli(IND),82,Hardik Pandya(IND),30-Mar
Blundstone Arena,Bangladesh,Netherlands,Super 12,Netherlands,Field,144,8,135,10,Bangladesh,Runs,Taskin Ahmed(BAN),Colin Ackermann(NEZ),62,Taskin Ahmed(BAN),25-Apr
Blundstone Arena,Zimbabwe,South Africa,Super 12,Zimbabwe,Bat,79,5,51,0,,,,Quinton de Kock(SA),47,Lungi Ngidi(SA),20-Feb
Optus Stadium,Sri lanka,Australia,Super 12,Australia,Field,157,6,158,3,Australia,Wickets,Marcus Stoinis(AUS),Marcus Stoinis(AUS),59,Glenn Maxwell(AUS),5-Jan
MCG,Ireland,England,Super 12,England,Field,157,10,105,5,Ireland,Runs,Andrew Balbirnie(IRE),Andrew Balbirnie(IRE),62,Liam Livingstone(ENG),17-Mar
MCG,New Zealand,Afghanistan,Super 12,,,,,,,,,,,,,
SCG,South Africa,Bangladesh,Super 12,South Africa,Bat,205,5,101,10,South Africa,Runs,Rilee Rossouw(SA),Rilee Rossouw(SA),109,Anrich Nortje(SA),10-Apr
SCG,India,Netherlands,Super 12,India,Bat,179,2,123,9,India,Runs,Suryakumar Yadav(IND),Virat Kohli(IND),62,Bhuvneshwar Kumar(IND),19-Feb
Optus Stadium,Zimbabwe,Pakistan,Super 12,Zimbabwe,Bat,130,8,129,8,Zimbabwe,Runs,Sikandar Raza(ZIM),Shan Masood(PAK),44,Mohammad Wasim(PAK),24-Apr
MCG,Afghanistan,Ireland,Super 12,,,,,,,,,,,,,
MCG,Australia,England,Super 12,,,,,,,,,,,,,
SCG,New Zealand,Sri lanka,Super 12,New Zealand,Bat,167,7,102,10,New Zealand,Runs,Glenn Phillips(NZ),Glenn Phillips(NZ),104,Trent Boult(NZ),13-Apr
The Gabba,Bangladesh,Zimbabwe,Super 12,Bangladesh,Bat,150,7,147,8,Bangladesh,Runs,Taskin Ahmed(BAN),Najmul Hossain(Ban),71,Taskin Ahmed(BAN),19-Mar
Optus Stadium,Netherlands,Pakistan,Super 12,Netherlands,Bat,91,9,95,4,Pakistan,Wickets,Shadab Khan(PAK),Mohammad Rizwan(PAK),49,Shadab Khan(PAK),22-Mar
Optus Stadium,India,South Africa,Super 12,India,Bat,133,9,137,5,South Africa,Wickets,Lungi Ngidi(SA),Suryakumar Yadav(IND),68,Lungi Ngidi(SA),29-Apr
